FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5347;;;;Slimme verlichting;235585.323;576776.867;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59235249;53.1716188;POINT (235585.32269914023 576776.8668984029)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5346;;;;Slimme verlichting;235565.757;576773.054;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.592059;53.17158748;POINT (235565.7573991377 576773.0538984024)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5345;;;;Slimme verlichting;238548.259;575788.657;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63639652;53.16228737;POINT (238548.2587991337 575788.6569983647)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5344;;;;Slimme verlichting;238504.426;575812.242;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63574741;53.16250609;POINT (238504.4257991358 575812.2424983642)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5343;;;;Slimme verlichting;238455.613;575836.43;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.635024;53.16273098;POINT (238455.61319913797 575836.4298983667)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5342;;;;Slimme verlichting;238409.621;575858.368;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63434218;53.16293523;POINT (238409.6212991373 575858.3680983627)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5341;;;;Slimme verlichting;238366.036;575873.819;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63369465;53.16308081;POINT (238366.03639913836 575873.8186983664)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5340;;;;Slimme verlichting;238303.803;575897.504;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63277047;53.16330326;POINT (238303.80269913882 575897.5036983679)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533f;;;;Slimme verlichting;238265.305;575915.149;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63219953;53.16346776;POINT (238265.3045991375 575915.1485983664)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533e;;;;Slimme verlichting;238213.198;575931.291;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63142478;53.16362087;POINT (238213.19799913632 575931.2906983665)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533d;;;;Slimme verlichting;237801.921;576041.741;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62530508;53.1646768;POINT (237801.92109914054 576041.7405983745)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533c;;;;Slimme verlichting;237881.324;576013.419;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.6264848;53.16441009;POINT (237881.32419913908 576013.4185983695)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533b;;;;Slimme verlichting;237847.972;576025.388;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62598929;53.16452277;POINT (237847.97179913806 576025.3875983716)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-533a;;;;Slimme verlichting;237919.549;576000.817;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62705299;53.16429097;POINT (237919.54919913667 576000.8169983722)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5339;;;;Slimme verlichting;237945.761;575991.843;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62744252;53.16420629;POINT (237945.7613991375 575991.8424983702)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5338;;;;Slimme verlichting;238029.398;575967.819;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62868661;53.16397752;POINT (238029.39819913957 575967.8191983701)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5337;;;;Slimme verlichting;238069.94;575970.722;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62929342;53.16399732;POINT (238069.94039913843 575970.7217983672)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5336;;;;Slimme verlichting;238058.185;575962.887;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.62911568;53.16392875;POINT (238058.18529913796 575962.8866983681)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5335;;;;Slimme verlichting;238126.456;575945.383;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.63013173;53.16376092;POINT (238126.45589913614 575945.3828983684)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5334;;;;Slimme verlichting;230056.2;579704.971;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51036399;53.19872766;POINT (230056.1995991817 579704.971098276)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5333;;;;Slimme verlichting;230075.755;579699.418;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51065527;53.19867503;POINT (230075.75529918232 579699.4177982796)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5332;;;;Slimme verlichting;230095.182;579694.274;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51094472;53.1986261;POINT (230095.18189918058 579694.273898276)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5331;;;;Slimme verlichting;230114.554;579689.294;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51123339;53.19857864;POINT (230114.55369918246 579689.2940982813)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5330;;;;Slimme verlichting;230133.816;579683.931;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51152033;53.19852776;POINT (230133.81609918392 579683.9312982784)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532f;;;;Slimme verlichting;230152.696;579679.006;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51180164;53.19848087;POINT (230152.69549918416 579679.0061982792)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532e;;;;Slimme verlichting;230172.122;579673.917;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51209109;53.19843242;POINT (230172.12199918443 579673.9169982809)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532d;;;;Slimme verlichting;230191.33;579668.992;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51237731;53.19838548;POINT (230191.32969918387 579668.9919982794)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532c;;;;Slimme verlichting;230211.03;579663.465;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51267076;53.19833306;POINT (230211.02989918308 579663.4649982774)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532b;;;;Slimme verlichting;230050.528;579684.862;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51027444;53.19854779;POINT (230050.5280991805 579684.8615982769)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-532a;;;;Slimme verlichting;230081.83;579683.001;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51074232;53.19852669;POINT (230081.82949918293 579683.0009982788)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5329;;;;Slimme verlichting;230101.147;579677.31;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51103;53.19847285;POINT (230101.14659918274 579677.3097982778)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5328;;;;Slimme verlichting;230120.409;579672.33;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51131703;53.19842542;POINT (230120.40899918423 579672.3300982793)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5327;;;;Slimme verlichting;230140.174;579667.846;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51161169;53.19838236;POINT (230140.17419918103 579667.8461982813)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5326;;;;Slimme verlichting;230159.207;579661.933;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51189507;53.19832657;POINT (230159.20749918243 579661.9327982794)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5325;;;;Slimme verlichting;230106.772;579660.668;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51111028;53.19832255;POINT (230106.7720991837 579660.6675982794)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5324;;;;Slimme verlichting;230126.1;579655.038;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51139814;53.19826926;POINT (230126.10019918357 579655.037698279)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5323;;;;Slimme verlichting;230145.048;579650.232;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5116805;53.19822343;POINT (230145.047999183 579650.23229828)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5322;;;;Slimme verlichting;230163.749;579645.242;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51195913;53.19817598;POINT (230163.7494991818 579645.2422982784)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5321;;;;Slimme verlichting;230190.235;579622.97;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51235018;53.19797217;POINT (230190.23529918375 579622.9701982808)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5320;;;;Slimme verlichting;230170.535;579627.95;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51205661;53.19801967;POINT (230170.5350991846 579627.9498982814)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531f;;;;Slimme verlichting;230137.318;579620.289;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51155786;53.1979555;POINT (230137.3183991816 579620.288698277)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531e;;;;Slimme verlichting;230183.997;579639.934;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51226081;53.19812545;POINT (230183.99689918273 579639.9341982793)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531d;;;;Slimme verlichting;230203.314;579634.954;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51254866;53.198078;POINT (230203.31399918266 579634.9543982786)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531c;;;;Slimme verlichting;230220.442;579630.358;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51280384;53.1980343;POINT (230220.44219918468 579630.3576982823)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531b;;;;Slimme verlichting;230217.898;579645.786;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51276938;53.19817327;POINT (230217.8975991824 579645.7860982784)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-531a;;;;Slimme verlichting;230197.568;579651.7;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5124666;53.19822925;POINT (230197.5680991849 579651.699598281)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5319;;;;Slimme verlichting;230181.534;579655.092;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51222751;53.19826198;POINT (230181.5342991826 579655.0923982802)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5318;;;;Slimme verlichting;230119.397;579632.362;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51129255;53.19806648;POINT (230119.39669918062 579632.3618982807)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5317;;;;Slimme verlichting;230132.222;579638.946;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51148597;53.19812383;POINT (230132.22229918282 579638.9457982787)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5316;;;;Slimme verlichting;230151.29;579633.046;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51176987;53.19806815;POINT (230151.28979918204 579633.0459982791)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5315;;;;Slimme verlichting;230102.788;579645.023;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51104703;53.19818256;POINT (230102.7882991821 579645.0233982822)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5314;;;;Slimme verlichting;230085.058;579657.828;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51078475;53.19830008;POINT (230085.05809918186 579657.828498277)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5313;;;;Slimme verlichting;230067.985;579672.056;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51053263;53.1984303;POINT (230067.98469918346 579672.0564982784)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5312;;;;Slimme verlichting;230176.252;579610.927;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51213816;53.19786593;POINT (230176.25169918168 579610.9270982785)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5311;;;;Slimme verlichting;230195.683;579605.348;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51242756;53.19781308;POINT (230195.682499184 579605.3478982783)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5310;;;;Slimme verlichting;230216.183;579600;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51273302;53.19776216;POINT (230216.18349918255 579600.0001982795)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530f;;;;Slimme verlichting;230165.683;579597.445;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51197688;53.19774629;POINT (230165.6824991836 579597.4450982783)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530e;;;;Slimme verlichting;230185.898;579592.635;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.5122782;53.19770024;POINT (230185.8979991809 579592.6354982792)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530d;;;;Slimme verlichting;230201.379;579588.202;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51250877;53.19765824;POINT (230201.37889918193 579588.2016982761)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530c;;;;Slimme verlichting;230219.979;579584.341;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51278614;53.19762094;POINT (230219.9785991822 579584.3407982793)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530b;;;;Slimme verlichting;230207.562;579570.863;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51259723;53.1975016;POINT (230207.56229918322 579570.8629982822)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-530a;;;;Slimme verlichting;230260.503;579618.767;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51340048;53.19792454;POINT (230260.50269918493 579618.7667982833)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5309;;;;Slimme verlichting;230241.509;579623.748;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51311748;53.19797196;POINT (230241.50919918297 579623.7476982779)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5308;;;;Slimme verlichting;230274.425;579630.887;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51361161;53.19803148;POINT (230274.4249991849 579630.886998277)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5307;;;;Slimme verlichting;230254.961;579636.598;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.51332174;53.19808552;POINT (230254.96099918307 579636.5983982801)
