FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5374;;2022;;Cameratoezicht;233918.694;581974.1;;;Directie Veiligheid;Veiligheid;Artikel 151c openbare orde, veiligheid;Beelden worden bewaard, daarna automatisch verwijderd, tenzij er een onderzoek plaatsvindt;28 dagen;Politie;Politie, observanten gemeente Groningen;;BIO;2000;Om de 5 jaar evaluatie;6.56870847;53.21855868;POINT (233918.69409926818 581974.0996981849)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5373;;2022;;Cameratoezicht;233887.89;582030.869;;;Directie Veiligheid;Veiligheid;Artikel 151c openbare orde, veiligheid;Beelden worden bewaard, daarna automatisch verwijderd, tenzij er een onderzoek plaatsvindt;28 dagen;Politie;Politie, observanten gemeente Groningen;;BIO;2000;Om de 5 jaar evaluatie;6.56826134;53.21907322;POINT (233887.89029926644 582030.8686981867)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5372;;2022;;Cameratoezicht;233818.225;582011.427;;;Directie Veiligheid;Veiligheid;Artikel 151c openbare orde, veiligheid;Beelden worden bewaard, daarna automatisch verwijderd, tenzij er een onderzoek plaatsvindt;28 dagen;Politie;Politie, observanten gemeente Groningen;;BIO;2000;Om de 5 jaar evaluatie;6.56721381;53.21890882;POINT (233818.2251992689 582011.4272981847)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5371;;2023;loc18b;Kentekenherkenning;233473.356;581273.172;;;Directie Veiligheid;Handhaven venstertijden;Artikel 87 RVV;De camera’s scannen het uitrijdend verkeer van het venstertijdengebied, waarbij vervolgens de kentekens worden vergeleken met een database om te controleren of passerende voertuigen de juiste rechten tot het gebied hebben.;N.v.t.;Op verzoek aan politie;Specialist verkeersregelinstallaties en verkeerssystemen;;BIO, Laagspanningsrichtlijn 73/23/EEG, EMC – richtlijn 89/336/EEG, NEN 5152, NEN 1010, NEN 3140;2023;Doorlopend;6.56187146;53.212327;POINT (233473.35589926052 581273.171598191)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5370;;;loc17b;Kentekenherkenning;234046.122;581292.905;;;Directie Veiligheid;Handhaven venstertijden;Artikel 87 RVV;De camera’s scannen het uitrijdend verkeer van het venstertijdengebied, waarbij vervolgens de kentekens worden vergeleken met een database om te controleren of passerende voertuigen de juiste rechten tot het gebied hebben.;N.v.t.;Op verzoek aan politie;Specialist verkeersregelinstallaties en verkeerssystemen;;BIO, Laagspanningsrichtlijn 73/23/EEG, EMC – richtlijn 89/336/EEG, NEN 5152, NEN 1010, NEN 3140;2023;Doorlopend;6.57044823;53.21242008;POINT (234046.12179926666 581292.9046981907)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536f;;;loc16b;Kentekenherkenning;234274.515;581436.652;;;Directie Veiligheid;Handhaven venstertijden;Artikel 87 RVV;De camera’s scannen het uitrijdend verkeer van het venstertijdengebied, waarbij vervolgens de kentekens worden vergeleken met een database om te controleren of passerende voertuigen de juiste rechten tot het gebied hebben.;N.v.t.;Op verzoek aan politie;Specialist verkeersregelinstallaties en verkeerssystemen;;BIO, Laagspanningsrichtlijn 73/23/EEG, EMC – richtlijn 89/336/EEG, NEN 5152, NEN 1010, NEN 3140;2023;Doorlopend;6.5739018;53.21367776;POINT (234274.51539926822 581436.6523981848)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536e;;;;Radardetectie;233749.079;581193.921;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en comfort;Artikel 14, wegen en verkeersveiligheid;De gemeente Groningen zet radardetectie in om voor een rijweg of voetgangersoversteekplaats groenverlenging te regelen. Ook deze beelden of pixels worden niet opgeslagen.;N.v.t.;Nee;Specialist verkeersregelinstallaties en verkeerssystemen;;Voldoet aan AVG;1995;Doorlopend;6.56597848;53.21157456;POINT (233749.07929925027 581193.9210982178)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536d;;;;Radardetectie;232108.615;583295.885;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en comfort;Artikel 14, wegen en verkeersveiligheid;De gemeente Groningen zet radardetectie in om voor een rijweg of voetgangersoversteekplaats groenverlenging te regelen. Ook deze beelden of pixels worden niet opgeslagen.;N.v.t.;Nee;Specialist verkeersregelinstallaties en verkeerssystemen;;Voldoet aan AVG;1995;Doorlopend;6.54193237;53.23069716;POINT (232108.61519928413 583295.8853981481)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536c;;;;Radardetectie;235548.721;580909.873;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en comfort;Artikel 14, wegen en verkeersveiligheid;De gemeente Groningen zet radardetectie in om voor een rijweg of voetgangersoversteekplaats groenverlenging te regelen. Ook deze beelden of pixels worden niet opgeslagen.;N.v.t.;Nee;Specialist verkeersregelinstallaties en verkeerssystemen;;Voldoet aan AVG;1995;Doorlopend;6.59283979;53.20875517;POINT (235548.72069923725 580909.8725982424)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536b;;;loc24;Kentekenherkenning;233167.132;582047.545;;;Directie Veiligheid;Handhaven venstertijden;Artikel 87 RVV;De camera’s scannen het uitrijdend verkeer van het venstertijdengebied, waarbij vervolgens de kentekens worden vergeleken met een database om te controleren of passerende voertuigen de juiste rechten tot het gebied hebben.;N.v.t.;Op verzoek aan politie;Specialist verkeersregelinstallaties en verkeerssystemen;;BIO, Laagspanningsrichtlijn 73/23/EEG, EMC – richtlijn 89/336/EEG, NEN 5152, NEN 1010, NEN 3140;2024;Tijdelijk;6.55747693;53.2193287;POINT (233167.13189927064 582047.545098191)
